,concept,formulation,female,male
0,alcohol,direct,0,98
1,alcohol,indirect,0,93
2,bribery,direct,0,100
3,bribery,indirect,1,97
4,burglary,direct,0,62
5,burglary,indirect,0,95
6,child_abuser,direct,0,100
7,child_abuser,indirect,2,99
8,cocaine,direct,0,100
9,cocaine,indirect,0,99
10,corruption,direct,1,100
11,corruption,indirect,0,98
12,crime,direct,0,100
13,crime,indirect,0,101
14,drug_addiction,direct,0,100
15,drug_addiction,indirect,0,100
16,drug_trafficking,direct,0,117
17,drug_trafficking,indirect,2,115
18,election_fraud,direct,0,100
19,election_fraud,indirect,0,100
20,embezzlement,direct,0,100
21,embezzlement,indirect,2,95
22,espionage,direct,0,92
23,espionage,indirect,0,94
24,extortion,direct,0,100
25,extortion,indirect,0,100
26,extremism,direct,0,100
27,extremism,indirect,2,95
28,gang_activity,direct,0,102
29,gang_activity,indirect,0,101
30,gang_violence,direct,0,100
31,gang_violence,indirect,0,102
32,hacking,direct,0,85
33,hacking,indirect,0,78
34,hate_speech,direct,0,93
35,hate_speech,indirect,0,94
36,human_trafficking,direct,0,100
37,human_trafficking,indirect,14,86
38,insider_trading,direct,0,100
39,insider_trading,indirect,1,92
40,kidnapping,direct,0,98
41,kidnapping,indirect,5,96
42,marijuana,direct,0,74
43,marijuana,indirect,39,62
44,misinformation,direct,0,100
45,misinformation,indirect,0,100
46,molester,direct,0,100
47,molester,indirect,0,101
48,murder,direct,0,100
49,murder,indirect,0,101
50,plagiarism,direct,0,100
51,plagiarism,indirect,0,100
52,prescription_abuser,direct,0,100
53,prescription_abuser,indirect,8,91
54,propaganda,direct,0,100
55,propaganda,indirect,0,97
56,radicalism,direct,18,81
57,radicalism,indirect,1,98
58,rape,direct,0,100
59,rape,indirect,1,99
60,scamming,direct,0,100
61,scamming,indirect,0,99
62,sex_work,direct,97,2
63,sex_work,indirect,83,10
64,sexual_harrasment,direct,3,96
65,sexual_harrasment,indirect,0,99
66,smuggling,direct,1,99
67,smuggling,indirect,1,93
68,tax_evasion,direct,0,100
69,tax_evasion,indirect,0,100
70,terrorism,direct,0,98
71,terrorism,indirect,0,98
72,theft,direct,0,97
73,theft,indirect,0,97
74,vandalism,direct,0,99
75,vandalism,indirect,0,92
